質問ID,カテゴリー,質問,回答,文字数,更新日時
q030,社会人初期,会社員時代に目撃した業界の非効率や矛盾で、「自分ならこうする」と思った具体的な事例を教えてください。,"未だにそうだけどもどうしてもやっぱり ペーパー ベースっていうところは 未だに感じます 決まり的に必ず紙を使わなきゃいけないっていうところもあれば それが当たり前だからみんなの普段の業務だったら価値観の中でもまだ当たり前に紙を使うっていうところがあります それがまあ 非効率だったり 無駄だとは思います もっとシステム化すれば ミスもなくなるし 時間効率も上がるんじゃないかなというところは間違いなく思ってます。あとは こうしなきゃいけないとかこうするものだという固定観念に縛られてる感じは まだまだあると思います この作業は実際には誰がやったっていいのに この作業はこの人のがやるものだとかそういった いらない本当に固定観念 っていうのはなくしていきたい 100がやって一利なしの考え方だと思います",350,"2025-07-05 11:49:30"
q031,社会人初期,独立前に密かに準備していたことや、会社に内緒で行っていた起業準備があれば教えてください。,"だから起業してないだからないんだけども プログラムは趣味の一つでもあるのでプログラムというか今 プログラミング もしてないので 全部 AI にアプリ 作ってもらってだけなので ただ 思いついたら作りたいというのがあるので 直接 仕事に使うものでもなくても 何かしら 本当に1日1個 新しい物作ってぐらいは大げさじゃなくそんぐらいのペースでは作ってるかもしれません",181,"2025-07-05 11:50:22"
q032,起業期,創業資金の調達で苦労したエピソードと、最終的にどのように資金を確保したか詳しく教えてください。,資金調達も特にしていません,13,"2025-07-05 11:50:34"
q033,起業期,起業初期に家族（配偶者、子供、両親）との関係で苦労したことと、理解を得るために努力したことを教えてください。,"起業当初 ではないですがしいて言えば 奥さんと結婚する時はどんな仕事かというの 伝えるのは苦労したかもしれません というのも 廃棄物 授業というのも いろんな種類があるし 水回りのメンテナンス なんて言ったらそれこそ それだけ聞いたら多分 ほとんどの人は分からないと思います で新規獲得のための営業活動の時も どういった仕事してるのかを伝えるってのが非常に苦労する業種でもありますなんかこう アンケートだったりでどんな仕事してるかっていう選ぶ 項目 あると思います うちの場合は必ずその他 もしくはその他のサービス業 みたいなところにチェックを入れざるを得ないというよな状況です",289,"2025-07-05 11:51:55"
q034,起業期,最初の従業員を雇用する際の不安と決断の理由、そしてその人が会社にもたらした変化を教えてください。,"私がもう入った時は 採用担当はまあ 親父 社長はいたけどメインは 専務でそこに まあ 自分もついてったような感じではあります その当時は本当に面接だけで決めていたのです すごく 偏った 人事になっていたかな と思います 今は 適性検査をメインに判断しているので そこら辺 昔よりは 採用基準がはっきりしているし 採用結果も伴ってるのでいいのかな と思います まあ 悲しいな でもそんな 採用基準に達してるから大丈夫だろうと思って採用しても そこはやはり 個人 個人 多少の差はあるので そこを意識しないと退職につながってしまうというところが 実際あったので そこが悲しいところではあります",294,"2025-07-05 11:53:18"
q035,成長期,事業拡大期に直面した資金繰りの危機と、それを乗り越えるために取った具体的な行動を教えてください。,"これは親父のおかげで 資金繰りに困るっていうのはほとんど 今はないです 昔はよく親父は 資金繰りに困ってたような気がしますが 武蔵野さんに入ってから本当に銀行さんとの付き合いが良くなって えっと 無担保 も保証っていうのが当たり前になってますしでなるべく長期で借りるっていう風な形にして返済負担も押さえてありますし 経営計画発表会というのに 銀行さんを呼んで見ていただいて会社の姿勢だったり 会社の実情というの 見てもらってるので資金を借りたいという時は本当に全然 困ってはないです まあむしろ 要所要所 銀行 さんが資金を貸したいという時にはこちらにお声掛けいただいてるのでそういった タイミングで借り入れをしたりもしています",314,"2025-07-05 11:54:42"
q036,成長期,優秀な人材の獲得と定着のために実践してきた独自の工夫や、失敗から学んだ教訓を教えてください。,"まず 優秀な人材というのがちょっと どうかな という表現で優秀っていうのは 真ん中 学歴がいいとか味 頭がいいとかそういうことを言うのかもしれませんが そこら辺の人は逆にうちの採用基準的には不採用にしています 今のうちの会社の車内の人たちと同じレベルで話ができる人 同じレベルで仕事ができるっていうのが一番だと思ってるので そこのレベルからまあ 低くても高くても そこは負債よという風にして なるべく みんなの目線が合うようにしているってのが 採用のやり方になりますで獲得に関しては そんなふうにえっとしてるのであえて優秀な人 取り行くなんていうことはしてないんですが まあ自分が採用担当だった っていうのも あり社長になってからも どんな風な採用してんのかなってのはちょっと気にはなってます まだまだ みんな 今は部長たちに任せてる感じではありますが 全然採用への意識はできてないと思います その そもそも募集も出してないし 募集の出し方も下手 かなっていう それで来ない 来ないって言ってるんでまあそれは来ないだろうな っていうような気がします でもあえて何も言いません 定着に関しては月1回の面談 女子との面談 っていうのを必ずやってもらってますやんない場合は上司は反省文 です あそこで本当は悩みとか言ってもらいたいんですが この面談 っていうのも 評価面談という名前はあるんですが 評価じゃなくて 面談 コミュニケーション重視 っていうところ やってもらいたいんですが なかなかここをまだまだ下手くそだなと思います後は前やってたこともあるのですが自分の会社の歴史を語るというのをさらに発展させてやっていきたいなと思いました というのも 私自身が語るというのをやってたのですが この前会社見学させていただいた 加茂繊維 様では入社2年目の社員が自社の歴史を私たち 見学者に説明してくれてすごいなと思いました 本当にあのレベルで会社の説明会社の歴史の説明ができれば会社員を間違えなく 高まるんだろうなという気がしましたんで自社でもやっていきたいなと思います",881,"2025-07-05 11:59:20"
q037,成長期,大手企業との競争や、新規参入業者への対抗策として実施してきた具体的な施策を教えてください。,"大手企業 本当に上場してるような 大手企業との戦いというのはあまりない意識もしてないのですが 後発 ということもあり 廃棄物事業については 本当に 底辺に近い感じになってると思います 周りにも 自社より大きい ライバルがたくさんいて本当に戦々恐々としています ただまあ 私がそういった同業者の方たちと 特に年齢が近い方とは頻繁に交流するようにしているのでよくしてもらっている方だと思います 新規参入業者 まあ 許可業 なんでなかなか 新規参入 自体が難しい あの 救われてるっていう業種ではあると思います ただ フットワークの軽さ っていうのはマシンキでも負けないぐらいでやっていきたいと思ってますし そうですね 要望への柔軟性だとか そして 作業品質っていうところ 作業スピードも新規参入には そもそも負けないか まあ 価格 おそらく 価格でしか負ける要素がないと思っています で逆に 今 価格で負けるような状況であれば それは自社がやっていることが本当にその新規参入業者と同じだってことなので それはもう外すべきことだと思いますので それは新規参入が悪いというよりは自社のレベルが低いっていう風に反省して高めていかないといけないと思います",521,"2025-07-05 12:01:42"
q038,成長期,事業の多角化や新サービスの立ち上げで失敗した経験と、そこから得た教訓を教えてください。,"事業の多角化 新商品 新サービスの開発はしなきゃいけないよと支持してますが ま あ よくある失敗の感じとしては上がこれをやってくれみたいな やってほしいって言ったものに関しては全くやってくるってない まあその最初やってくれたとしても長続きせず今となってはただ そのための道具があるだけみたいな状況になってしまっているかもしれません 例えば 絨毯 クリーニング 貫通部門での絨毯 クリーニングはまああのずっと前からやってて10年以上やってたんですが それは会長がやりたいと言ったものででもそれの営業をやってさらにお客様を増やしたりとか一切やってなくて 道具だけが 1年に1回とか使う道具が置かれてるだけというの状況でした なので もう 貫通部門のその絨毯 クリーニングに関してはやめてしまったのですが 一般廃棄物 部門 片付け隊の方はその絨毯 クリーニングってのはちょっとなんか 憧れを持ってたみたいで やっぱり大きな売上 粗利につながるのでいいなと思ってたみたいで そっちは新たな道具を買って続けています そんな風にまあ 上が これやれ あれやれって言ったのは続かないけども部下たちがやりたいななんて思ったものを",506,"2025-07-05 12:03:47"
q039,現在・未来,デジタル化やAI活用など、テクノロジーの進化に対する取り組みと今後の展望を教えてください。,"デジタル化はだいぶ 進めてきました 特にあったのは アルコールチェッカー アルコールチェックの義務化ですかね あれも最初 本当に紙でやっててもうみんなが面倒くさい って言ったのでいち早く デジタル化 クラウド化してやってます そこから後は 勤怠 勤怠 も タブレットでタッチするだけにしたりとかとにかくデジタル化できるものはしてます 自分がそうですね えっと 一番最初に作ったものが 貫通に配属されたんですがそこで使ってたのが 予定表というので A 3サイズでなんかクリアファイルみたいなクリアブックですかねに入ったものでまあその日の作業 どんな作業があるかっていうのをそれに手書きで書いてたんですねで それは 毎月 総務部長がその雛形を印刷して作業については シャーペンで書いてその作業がもし キャンセルとかになれば消しゴムで消して別の日になればまたその日に書き写してみたいな 非常に非効率なことをやってました 自分はそれが本当に嫌だったので えっと それのデジタル化に取り組みました そこで プログラミングでその予定表のデジタル化で作ったのが今の社内システムの先駆け です それまでは営業の人が新しい仕事を電話でね受け外で受けたら会社にわざわざ 帰ってきてその予定表にシャーペンで書き込んでたんですね でも えっと帰ってくるまでの間に まあ 別の営業さんがそこに入れようと思ってた日に予定を入れた入れちゃったりとか休みを入れちゃったりとかあれ お客様から作業の依頼いただいて そこにでやろうって思って入れたのに入れらんなかったみたいなそんなトラブルが本当に毎日あったんですね まあそれが嫌だったってのもあります 今はもう社外でお客様から依頼が来たらその場でスマートフォンだったり タブレットを見て 予定表 確認して空いてればそのまま タップで現場の予定を入れられますし 出先でも明日とか明後日どんな休み明け とかどんな予定が入ってたかなとか簡単に見れるようになりました",836,"2025-07-05 12:06:46"
q040,現在・未来,地域社会への貢献活動や、業界全体の発展のために行っている活動があれば教えてください。,"地域社会の貢献のためにやってることは 物理的なところで言えば会社周辺のゴミ拾い っていうのは半年に1回みんなでやっています あとはそうですね まあ そもそも仕事自体が地域貢献 だとは思ってやってる部分を あります あとはそのまあ 私だったりは地域のそういった まさに 桃太郎は 青年団体ですかね商工会青年部だったり 青年会議所 だったり また その他のいろんな団体に出て 地域のための活動ってのは やってたりします あと地域でお祭りがあったりするとそこのゴミは うちは 無料で回収したりだとかそういったこともやったりはしています あとはまあ多いのは 協賛 ですかね なんか祭り やるんでとかこういったことはあるんで 協賛金をなんとかお願いします っていう時は割と積極的にやってる方だと思います。業界団体にも青年部 っていうのはあって そこも所属しています 産業資源循環協会青年部会は2026年令和8年度の新潟県の部会長の予定ですし その2型以外でもまあいろいろ 役職を受けて させていただいてやったりして自分の勉強 そして会社の地名 アップ そして 業界の発展のために活動しています",491,"2025-07-05 12:08:50"
q041,現在・未来,経営者として最も困難な決断（リストラ、事業撤退など）をした経験と、その際の心情を教えてください。,"ま最もきつい 決断 って何ですかね まあ 人を やっぱやめさせるとかそういうところですかね 事業撤退 まあ 事業撤退はよくやりますかね 今 逆に再開したりとかその時のマンパワー だったりものとしては良いんだけどやり方が悪くて明らかに誰のためにもなってない事業とかそういったのはやめる決断はしていますかね。リストラっていう経験はあんまりないですが やっぱり もともと仲間だった人が会社を離れてしまうっていうのは辛い 毎回 辛い思いはしています そしてその後はうちは 同業者への再就職はしないでねっていう風にお願いはしてるのですが でもやっぱり次の次の転職の時とか同業者に行ったりしているのを見るとでそこが入ってもなんか 実はうち より給料が低くて体育は悪いみたいなところだったりするとなんか もったいない なうちでずっと頑張ってればもっと 昇進 もできたしもっと楽だったんじゃないかな みたいな まあ 残念に思うことはあります",412,"2025-07-05 12:10:55"
q042,現在・未来,自身の健康管理やワークライフバランスについて、どのような工夫をしていますか？過去の失敗談も含めて教えてください。,"西野健康管理ってのは今 全くしていないような状況です これはまあまずいと思いますえっと 今年はもう タスクが多すぎて全然 プラス そこに加えるって事ができないんですが 来年以降は自身の体調管理 特に運動などには力を入れていきたいなと思います 自分は本当に短期で飽き性で長続きしないので筋トレを始めたりだとか マラソン始めたりだとかスポーツ 自分 通い始めたりしてもすぐに まあ やめてしまう奥さんから3日続く 本当 3日坊主っていう風には言われてるのであそこをいかに続けるかっていうのを来年以降のテーマだと思います ちょっと見たのはどんな辛くても どんなに効果が出なくても 何ヶ月かは やってみよう っていうこう 自分の中で最低限の LINE っていうのを定めるといいよ っていうの見たので そこら辺を定めてチャレンジしていきたいと思います。精神面での失敗ってのはよくやるので えっと働きすぎて倒れたり 起きれなくなったり また社員に辛く当たったりっていうのを書くしてきたので そこはちょっと反省しなきゃいけないかなと思います",463,"2025-07-05 12:12:49"
q043,現在・未来,もし20代に戻れるとしたら、同じ道を選びますか？違う選択をするとしたら何を変えますか？,"20代に戻ったとしても おそらく 自分自身なんかやることは同じなのかなと思いますが えっと あえて帰るとしたら会社の採用の部分採用基準 というのをもっと早くから 明確に定めておくとかあとは 評価基準 もそうですね なんかその採用と評価 っていうところは 会社の その文化を作るというところにおいて 一番先決だと思うので そこは早めに着手した方がいいのかなという風な気はします 働く みんなが楽になると思うのであとは 営業 攻めの営業するっていう文化を定着させたいな っていう風には思います 受け身 受け身じゃなくて 基本的には仕事っていうのは営業して取ってくるっていうようなその価値観を根付かせたいです",301,"2025-07-05 12:14:37"
q044,現在・未来,あなたの会社や事業が100年後も続いているとしたら、どのような形になっていてほしいですか？,"そのただの妄想というか 理想というかあれですが まあいろんな会社さん 見に行くと最先端技術を使って環境にも人にも優しいような そんな事業を取り組んでるのを見るとかっこいいなというふうには思います それがこの地域 街中に広がって この町中が笑顔で溢れて なんか最先端で みんながかっこいい暮らしをしていたらなっていうノア 思います まあそれを先導していたりそれを守っているのがうちだったらいいなという風には思います なんて言うか 広い範囲に行こうどん どんどんどん進出してというよりは 自分の周り 寮 より質を上げていけたらなという風な気はします",272,"2025-07-05 12:17:41"
q045,現在・未来,人生の最後に振り返った時、「これを成し遂げた」と誇れるようなレガシー（遺産）は何だと思いますか？,"うーん難しいけどまあ要は 人々 携わった人々の笑顔の数ですかね",31,"2025-07-05 12:18:08"
